#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
ilkhanate_formation;Form the Ilkhanate;;;;;;;;;;;;x,,,,
ilkhanate_formation_desc;The lands within Persia have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
golden_horde_formation;Form the Golden Horde Khanate;;;;;;;;;;;;x,,,,
golden_horde_formation_desc;The lands of the Pontic Steppes have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
chagatai_formation;Form the Chagatai Khanate;;;;;;;;;;;;x,,,,
chagatai_formation_desc;The lands of Central Asia have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
"EVTDESCKHA.98900;As the founder of a new part of the Mongol Empire, it is my duty to pay formal respect to the Great Khan.;;;;;;;;;;;;x",,,,
EVTOPTAKHA.98900;This is a great day.;;;;;;;;;;;;x,,,,
EVTOPTBKHA.98900;This is a great day.;;;;;;;;;;;;x,,,,
EVTOPTCKHA.98900;This is a great day.;;;;;;;;;;;;x,,,,
EVTDESCKHA.98901;The previous Khan, upon his death, dictated the division of the empire. As successor, I am expected to follow through on this to maintain stability. Despite the succession of new Khan's to their respective regions, they must answer to me.;;;;;;;;;;;;x
EVTOPTAKHA.98901;Conquer and divide.;;;;;;;;;;;;x,,,,
EVTOPTBKHA.98901;Conquer and divide.;;;;;;;;;;;;x,,,,
ilkhanate_formation_mongol_empire;Partition Persia into the Ilkhanate;;;;;;;;;;;;x,,,,
ilkhanate_formation_mongol_empire_desc;The lands within Persia have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
persian_empire_restored;Remove the Mongol Influence from Persia;;;;;;;;;;;;x,,,,
persian_empire_restored_desc;The Mongol menace has finally been driven from Persian lands and thus we can make their Ilkhanate partition a thing of the past.;;;;;;;;;;;;x,,,,
golden_horde_formation_mongol_empire;Partition the Steppes into the Golden Horde;;;;;;;;;;;;x,,,,
golden_horde_formation_mongol_empire_desc;The lands of the Pontic Steppes have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
chagatai_formation_mongol_empire;Partition Central Asia into the Chagatai Khanate;;;;;;;;;;;;x,,,,
chagatai_formation_mongol_empire_desc;The lands of Central Asia have been conquered and the formation of a great Khanate will formalise the rule over the region.;;;;;;;;;;;;x,,,,
mongol_empire_de_jure_formation;Formalise Mongol Lands;;;;;;;;;;;;x,,,,
mongol_empire_de_jure_formation_desc;The lands of Northern Asia are now fully under our control and thus the Mongol Empire now has full rights to these lands.;;;;;;;;;;;;x,,,,
replace_persia_ilkhanate_tooltip;Replaces de jure Persian Empire with Ilkhanate as Empire de jure title.;;;;;;;;;;;;x,,,,
replace_ilkhanate_persia_tooltip;Restores the de jure Persian Empire by replacing the Ilkhanate with Persian Empire as Empire de jure title.;;;;;;;;;;;;x,,,,
replace_steppe_golden_horde_tooltip;Replaces de jure Pontic Steppe with Golden Horde as Empire de jure title.;;;;;;;;;;;;x,,,,
replace_central_asia_chagatai_tooltip;Replaces de jure Turan with Chagatai Khanate as Empire de jure title.;;;;;;;;;;;;x,,,,
replace_tartaria_mongol_empire_tooltip;Replaces de jure Tartaria with Mongol Empire as Empire de jure title.;;;;;;;;;;;;x,,,,
divide_mongol_empire;Divide the Mongol Empire;;;;;;;;;;;;x,,,,
divide_mongol_empire_no_gh;Divide the Mongol Empire;;;;;;;;;;;;x,,,,
divide_mongol_empire_desc;The Mongol Empire stretches over most of the known world but claims from various descendants of Genghis Khan threaten the stability of the whole empire. By splitting up the empire region Khan's, all still answerable to the Great Khan,it will allow more effective management of our ruled lands.;;;;;;;;;;;;x,,
divide_mongol_empire_no_gh_desc;The Mongol Empire stretches over most of the known world but claims from various descendants of Genghis Khan threaten the stability of the whole empire. By splitting up the empire region Khan's, all still answerable to the Great Khan,it will allow more effective management of our ruled lands.;;;;;;;;;;;;x,,
division_mongol_empire_tooltip;Upon your death, the Mongol Empire will be divided into four Khanates answerable only to the Great Khan in Mongolia.;;;;;;;;;;;;x,,,
EVTTITLEKHA.98902;Division of the Mongol Empire;;;;;;;;;;;;x,,,,
EVTDESCKHA.98902;The lands of our ancestors in Mongolia or outlying regions such as Central Asia or Persia require attention yet the Empire is now divided and we must decide on what part of the Empire we should focus on.;;;;;;;;;;;;x,,,,
EVTOPTAKHA.98902;I will remain as Great Khan of the Mongol Empire.;;;;;;;;;;;;x,,,,
EVTOPTBKHA.98902;The Golden Horde on the Steppes of the Black Sea.;;;;;;;;;;;;x,,,,
EVTOPTCKHA.98902;The Chagatai Khanate of Central Asia;;;;;;;;;;;;x,,,,
EVTOPTDKHA.98902;The Ilkhanate of Persia.;;;;;;;;;;;;x,,,,
stay_mongol_empire_mongol_khanates_TT;Remain as Great Khan of the Mongol Empire.;;;;;;;;;;;;x,,,,
switch_to_golden_horde_mongol_khanates_TT;Switch to play as the Khagan of the Golden Horde.;;;;;;;;;;;;x,,,,
switch_to_chagatai_mongol_khanates_TT;Switch to play as the Khagan of the Chagatai Khanate.;;;;;;;;;;;;x,,,,
switch_to_ilkhanate_mongol_khanates_TT;Switch to play as the Khagan of the Ilkhanate.;;;;;;;;;;;;x,,,,
reinforce_genghis_khan;Call on Mongol Reinforcements;;;;;;;;;;;;x,,,,
reinforce_genghis_khan_desc;Our lands are large enough to call upon more Mongol troops to expand our evergrowing Empire. With these troops, we can accomplish our ambition of a large Empire much more easily.;;;;;;;;;;;;x,,,
yuan_division_mongol_empire_tooltip;China will inherit any land in Tibet.;;;;;;;;;;;;x,,,,
